db traj id : 1427
frame,reward,score,terminal, action
3177,0, 1760, False, 0
3178,0, 1760, False, 0
3179,0, 1760, False, 0
3180,0, 1760, False, 0
3181,0, 1760, False, 0
3182,0, 1760, False, 0
3183,0, 1760, False, 0
3184,0, 1760, False, 0
3185,0, 1760, False, 0
3186,0, 1760, False, 0
3187,0, 1760, False, 0
3188,0, 1760, False, 0
3189,0, 1760, False, 0
3190,0, 1760, False, 0
3191,0, 1760, False, 0
3192,0, 1760, False, 0
3193,0, 1760, False, 0
3194,0, 1760, False, 0
3195,0, 1760, False, 0
3196,0, 1760, False, 0
3197,0, 1760, False, 0
3198,0, 1760, False, 0
3199,0, 1760, False, 0
3200,0, 1760, False, 0
3201,0, 1760, False, 0
3202,0, 1760, False, 0
3203,0, 1760, False, 0
3204,0, 1760, False, 0
3205,0, 1760, False, 0
3206,0, 1760, False, 0
3207,0, 1760, False, 0
3208,0, 1760, False, 0
3209,0, 1760, False, 0
3210,0, 1760, False, 0
3211,0, 1760, False, 0
3212,0, 1760, False, 0
3213,0, 1760, False, 0
3214,0, 1760, False, 0
3215,0, 1760, False, 0
3216,0, 1760, False, 0
3217,0, 1760, False, 0
3218,0, 1760, False, 0
3219,0, 1760, False, 0
3220,0, 1760, False, 0
3221,0, 1760, False, 4
3222,0, 1760, False, 4
3223,0, 1760, False, 4
3224,0, 1760, False, 4
3225,0, 1760, False, 4
3226,0, 1760, False, 4
3227,0, 1760, False, 4
3228,0, 1760, False, 4
3229,0, 1760, False, 4
3230,0, 1760, False, 4
3231,10, 1770, False, 4
3232,0, 1770, False, 4
3233,0, 1770, False, 4
3234,0, 1770, False, 4
3235,0, 1770, False, 4
3236,0, 1770, False, 4
3237,0, 1770, False, 4
3238,0, 1770, False, 4
3239,0, 1770, False, 4
3240,0, 1770, False, 4
3241,0, 1770, False, 0
3242,0, 1770, False, 0
3243,0, 1770, False, 0
3244,0, 1770, False, 0
3245,0, 1770, False, 0
3246,0, 1770, False, 0
3247,0, 1770, False, 0
3248,0, 1770, False, 0
3249,0, 1770, False, 0
3250,0, 1770, False, 0
3251,0, 1770, False, 0
3252,0, 1770, False, 0
3253,0, 1770, False, 0
3254,0, 1770, False, 0
3255,0, 1770, False, 0
3256,0, 1770, False, 0
3257,0, 1770, False, 0
3258,0, 1770, False, 0
3259,0, 1770, False, 0
3260,0, 1770, False, 0
3261,0, 1770, False, 0
3262,0, 1770, False, 0
3263,0, 1770, False, 0
3264,0, 1770, False, 0
3265,0, 1770, False, 0
3266,0, 1770, False, 0
3267,0, 1770, False, 0
3268,0, 1770, False, 0
3269,0, 1770, False, 0
3270,0, 1770, False, 0
3271,0, 1770, False, 0
3272,0, 1770, False, 0
3273,0, 1770, False, 0
3274,0, 1770, False, 0
3275,0, 1770, False, 0
3276,0, 1770, False, 0
3277,0, 1770, False, 0
3278,0, 1770, False, 0
3279,0, 1770, False, 0
3280,0, 1770, False, 0
3281,0, 1770, False, 0
3282,0, 1770, False, 0
3283,0, 1770, False, 0
3284,0, 1770, False, 0
3285,0, 1770, False, 0
3286,0, 1770, False, 0
3287,0, 1770, False, 0
3288,0, 1770, False, 0
3289,0, 1770, False, 0
3290,0, 1770, False, 0
3291,0, 1770, False, 0
3292,0, 1770, False, 0
3293,0, 1770, False, 0
3294,0, 1770, False, 0
3295,0, 1770, False, 0
3296,0, 1770, False, 0
3297,0, 1770, False, 0
3298,0, 1770, False, 0
3299,0, 1770, False, 0
3300,0, 1770, False, 0
3301,0, 1770, False, 0
3302,0, 1770, False, 0
3303,0, 1770, False, 0
3304,0, 1770, False, 0
3305,0, 1770, False, 0
3306,0, 1770, False, 0
3307,0, 1770, False, 0
3308,0, 1770, False, 0
3309,0, 1770, False, 0
3310,0, 1770, False, 0
3311,0, 1770, False, 0
3312,0, 1770, False, 0
3313,0, 1770, False, 0
3314,0, 1770, False, 0
3315,0, 1770, False, 0
3316,0, 1770, False, 0
3317,0, 1770, False, 0
3318,0, 1770, False, 0
3319,0, 1770, False, 0
3320,0, 1770, False, 0
3321,0, 1770, False, 0
3322,0, 1770, False, 0
3323,0, 1770, False, 0
3324,0, 1770, False, 0
3325,0, 1770, False, 0
3326,0, 1770, False, 0
3327,0, 1770, False, 0
3328,0, 1770, False, 0
3329,0, 1770, False, 0
3330,0, 1770, False, 0
3331,0, 1770, False, 0
3332,0, 1770, False, 0
3333,0, 1770, False, 0
3334,0, 1770, False, 0
3335,0, 1770, False, 0
3336,0, 1770, False, 0
3337,0, 1770, False, 0
3338,0, 1770, False, 0
3339,0, 1770, False, 0
3340,0, 1770, False, 0
3341,0, 1770, False, 0
3342,0, 1770, False, 0
3343,0, 1770, False, 0
3344,0, 1770, False, 0
3345,0, 1770, False, 0
3346,0, 1770, False, 0
3347,0, 1770, False, 0
3348,0, 1770, False, 0
3349,0, 1770, False, 0
3350,0, 1770, False, 0
3351,0, 1770, False, 0
3352,0, 1770, False, 0
3353,0, 1770, False, 0
3354,0, 1770, False, 0
3355,0, 1770, False, 0
3356,0, 1770, False, 0
3357,0, 1770, False, 0
3358,0, 1770, False, 0
3359,0, 1770, False, 0
3360,0, 1770, False, 0
3361,0, 1770, False, 0
3362,0, 1770, False, 0
3363,0, 1770, False, 0
3364,0, 1770, False, 0
3365,0, 1770, False, 0
3366,0, 1770, False, 0
3367,0, 1770, False, 0
3368,0, 1770, False, 0
3369,0, 1770, False, 0
3370,0, 1770, False, 0
3371,0, 1770, False, 0
3372,0, 1770, False, 0
3373,0, 1770, False, 0
3374,0, 1770, False, 0
3375,0, 1770, False, 0
3376,0, 1770, False, 0
3377,0, 1770, False, 0
3378,0, 1770, False, 0
3379,0, 1770, False, 0
3380,0, 1770, False, 0
3381,0, 1770, False, 0
3382,0, 1770, False, 0
3383,0, 1770, False, 0
3384,0, 1770, False, 0
3385,0, 1770, False, 0
3386,0, 1770, False, 0
3387,0, 1770, False, 0
3388,0, 1770, False, 0
3389,0, 1770, False, 0
3390,0, 1770, False, 0
3391,0, 1770, False, 0
3392,0, 1770, False, 0
3393,0, 1770, False, 0
3394,0, 1770, False, 0
3395,0, 1770, False, 0
3396,0, 1770, False, 0
3397,0, 1770, False, 0
3398,0, 1770, False, 0
3399,0, 1770, False, 0
3400,0, 1770, False, 0
3401,0, 1770, False, 0
3402,0, 1770, False, 3
3403,0, 1770, False, 3
3404,0, 1770, False, 3
3405,0, 1770, False, 3
3406,0, 1770, False, 3
3407,0, 1770, False, 3
3408,0, 1770, False, 3
3409,0, 1770, False, 3
3410,0, 1770, False, 3
3411,0, 1770, False, 3
3412,0, 1770, False, 3
3413,0, 1770, False, 0
3414,0, 1770, False, 0
3415,0, 1770, False, 0
3416,0, 1770, False, 0
3417,0, 1770, False, 0
3418,0, 1770, False, 0
3419,0, 1770, False, 0
3420,0, 1770, False, 0
3421,0, 1770, False, 0
3422,0, 1770, False, 0
3423,0, 1770, False, 0
3424,0, 1770, False, 0
3425,0, 1770, False, 0
3426,0, 1770, False, 0
3427,0, 1770, False, 0
3428,0, 1770, False, 0
3429,0, 1770, False, 0
3430,0, 1770, False, 0
3431,0, 1770, False, 0
3432,0, 1770, False, 0
3433,0, 1770, False, 0
3434,0, 1770, False, 0
3435,0, 1770, False, 0
3436,0, 1770, False, 0
3437,0, 1770, False, 0
3438,0, 1770, False, 0
3439,0, 1770, False, 0
3440,0, 1770, False, 0
3441,0, 1770, False, 0
3442,0, 1770, False, 0
3443,0, 1770, False, 0
3444,0, 1770, False, 0
3445,0, 1770, False, 0
3446,0, 1770, False, 0
3447,0, 1770, False, 0
3448,0, 1770, False, 0
3449,0, 1770, False, 0
3450,0, 1770, False, 0
3451,0, 1770, False, 0
3452,0, 1770, False, 0
3453,0, 1770, False, 0
3454,0, 1770, False, 0
3455,0, 1770, False, 3
3456,0, 1770, False, 3
3457,0, 1770, False, 3
3458,0, 1770, False, 3
3459,0, 1770, False, 3
3460,0, 1770, False, 3
3461,0, 1770, False, 3
3462,0, 1770, False, 3
3463,0, 1770, False, 3
3464,0, 1770, False, 3
3465,0, 1770, False, 3
3466,0, 1770, False, 3
3467,0, 1770, False, 3
3468,0, 1770, False, 3
3469,0, 1770, False, 3
3470,0, 1770, False, 3
3471,0, 1770, False, 0
3472,0, 1770, False, 0
3473,0, 1770, False, 0
3474,0, 1770, False, 0
3475,0, 1770, False, 0
3476,0, 1770, False, 0
3477,0, 1770, False, 0
3478,0, 1770, False, 0
3479,0, 1770, False, 0
3480,0, 1770, False, 0
3481,0, 1770, False, 0
3482,0, 1770, False, 0
3483,0, 1770, False, 0
3484,0, 1770, False, 0
3485,0, 1770, False, 0
3486,0, 1770, False, 0
3487,0, 1770, False, 0
3488,0, 1770, False, 0
3489,0, 1770, False, 0
3490,0, 1770, False, 0
3491,0, 1770, False, 0
3492,0, 1770, False, 0
3493,0, 1770, False, 0
3494,0, 1770, False, 0
3495,0, 1770, False, 0
3496,0, 1770, False, 0
3497,0, 1770, False, 0
3498,0, 1770, False, 0
3499,0, 1770, False, 0
3500,0, 1770, False, 0
3501,0, 1770, False, 0
3502,0, 1770, False, 0
3503,0, 1770, False, 0
3504,0, 1770, False, 0
3505,0, 1770, False, 0
3506,0, 1770, False, 0
3507,0, 1770, False, 0
3508,0, 1770, False, 0
3509,0, 1770, False, 0
3510,0, 1770, False, 0
3511,0, 1770, False, 0
3512,0, 1770, False, 0
3513,0, 1770, False, 0
3514,0, 1770, False, 0
3515,0, 1770, False, 0
3516,0, 1770, False, 0
3517,0, 1770, False, 0
3518,0, 1770, False, 0
3519,0, 1770, False, 0
3520,0, 1770, False, 0
3521,0, 1770, False, 0
3522,0, 1770, False, 0
3523,0, 1770, False, 0
3524,0, 1770, False, 0
3525,0, 1770, False, 0
3526,0, 1770, False, 0
3527,0, 1770, False, 0
3528,0, 1770, False, 0
3529,0, 1770, False, 0
3530,0, 1770, False, 0
3531,0, 1770, False, 0
3532,0, 1770, False, 5
3533,0, 1770, False, 5
3534,0, 1770, False, 5
3535,0, 1770, False, 5
3536,0, 1770, False, 5
3537,0, 1770, False, 5
3538,0, 1770, False, 5
3539,0, 1770, False, 5
3540,0, 1770, False, 5
3541,0, 1770, False, 5
3542,0, 1770, False, 0
3543,0, 1770, False, 0
3544,0, 1770, False, 0
3545,0, 1770, False, 0
3546,0, 1770, False, 0
3547,0, 1770, False, 0
3548,0, 1770, False, 0
3549,0, 1770, False, 0
3550,0, 1770, False, 0
3551,0, 1770, False, 0
3552,0, 1770, False, 0
3553,0, 1770, False, 3
3554,0, 1770, False, 3
3555,0, 1770, False, 3
3556,0, 1770, False, 3
3557,0, 1770, False, 3
3558,0, 1770, False, 3
3559,0, 1770, False, 3
3560,0, 1770, False, 3
3561,0, 1770, False, 3
3562,0, 1770, False, 3
3563,0, 1770, False, 3
3564,0, 1770, False, 3
3565,0, 1770, False, 3
3566,0, 1770, False, 3
3567,0, 1770, False, 0
3568,0, 1770, False, 0
3569,0, 1770, False, 0
3570,0, 1770, False, 0
3571,0, 1770, False, 0
3572,0, 1770, False, 0
3573,0, 1770, False, 0
3574,0, 1770, False, 0
3575,0, 1770, False, 0
3576,0, 1770, False, 0
3577,0, 1770, False, 0
3578,0, 1770, False, 0
3579,0, 1770, False, 0
3580,0, 1770, False, 0
3581,0, 1770, False, 0
3582,0, 1770, False, 0
3583,0, 1770, False, 2
3584,0, 1770, False, 2
3585,0, 1770, False, 2
3586,0, 1770, False, 2
3587,0, 1770, False, 2
3588,0, 1770, False, 2
3589,0, 1770, False, 2
3590,0, 1770, False, 2
3591,0, 1770, False, 2
3592,0, 1770, False, 2
3593,0, 1770, False, 2
3594,0, 1770, False, 2
3595,0, 1770, False, 2
3596,0, 1770, False, 2
3597,0, 1770, False, 2
3598,0, 1770, False, 2
3599,0, 1770, False, 2
3600,0, 1770, False, 2
3601,0, 1770, False, 2
3602,0, 1770, False, 2
3603,0, 1770, False, 2
3604,0, 1770, False, 2
3605,0, 1770, False, 0
3606,0, 1770, False, 0
3607,0, 1770, False, 0
3608,0, 1770, False, 0
3609,0, 1770, False, 0
3610,0, 1770, False, 0
3611,0, 1770, False, 0
3612,0, 1770, False, 0
3613,0, 1770, False, 0
3614,0, 1770, False, 0
3615,0, 1770, False, 0
3616,0, 1770, False, 0
3617,0, 1770, False, 0
3618,0, 1770, False, 0
3619,0, 1770, False, 0
3620,0, 1770, False, 4
3621,0, 1770, False, 4
3622,0, 1770, False, 4
3623,0, 1770, False, 4
3624,0, 1770, False, 4
3625,0, 1770, False, 4
3626,0, 1770, False, 4
3627,0, 1770, False, 0
3628,0, 1770, False, 0
3629,0, 1770, False, 0
3630,0, 1770, False, 0
3631,0, 1770, False, 0
3632,0, 1770, False, 0
3633,0, 1770, False, 0
3634,0, 1770, False, 0
3635,0, 1770, False, 0
3636,0, 1770, False, 0
3637,0, 1770, False, 0
3638,0, 1770, False, 0
3639,0, 1770, False, 0
3640,0, 1770, False, 0
3641,0, 1770, False, 0
3642,0, 1770, False, 0
3643,0, 1770, False, 0
3644,0, 1770, False, 0
3645,0, 1770, False, 0
3646,0, 1770, False, 0
3647,0, 1770, False, 0
3648,0, 1770, False, 0
3649,0, 1770, False, 0
3650,0, 1770, False, 0
3651,0, 1770, False, 0
3652,0, 1770, False, 0
3653,0, 1770, False, 0
3654,0, 1770, False, 0
3655,0, 1770, False, 0
3656,0, 1770, False, 0
3657,0, 1770, False, 0
3658,0, 1770, False, 0
3659,0, 1770, False, 0
3660,0, 1770, False, 0
3661,0, 1770, False, 0
3662,0, 1770, False, 0
3663,0, 1770, False, 0
3664,0, 1770, False, 0
3665,0, 1770, False, 0
3666,0, 1770, False, 0
3667,0, 1770, False, 0
3668,0, 1770, False, 0
3669,0, 1770, False, 0
3670,0, 1770, False, 0
3671,0, 1770, False, 0
3672,0, 1770, False, 0
3673,0, 1770, False, 0
3674,0, 1770, False, 0
3675,0, 1770, False, 0
3676,0, 1770, False, 0
3677,0, 1770, False, 0
3678,0, 1770, False, 0
3679,0, 1770, False, 0
3680,0, 1770, False, 0
3681,0, 1770, False, 0
3682,0, 1770, False, 0
3683,0, 1770, False, 0
3684,0, 1770, False, 0
3685,0, 1770, False, 0
3686,0, 1770, False, 0
3687,0, 1770, False, 0
3688,0, 1770, False, 0
3689,0, 1770, False, 0
3690,0, 1770, False, 0
3691,0, 1770, False, 0
3692,0, 1770, False, 0
3693,0, 1770, False, 0
3694,0, 1770, False, 0
3695,0, 1770, False, 0
3696,0, 1770, False, 0
3697,0, 1770, True, 0
